"Frequency(Hz)","Return Loss(dB)","±Phase(deg)"
22041126.000,14.321,35.112
22055388.000,14.427,34.470
22069650.000,14.443,33.686
22083912.000,14.535,33.144
22098174.000,14.517,32.506
22112436.000,14.632,31.536
22126698.000,14.632,30.969
22140960.000,14.700,29.997
22155222.000,14.810,29.611
22169484.000,14.770,28.529
22183746.000,14.849,27.718
22198008.000,14.812,27.106
22212270.000,14.903,26.573
22226532.000,14.972,25.762
22240794.000,14.937,24.776
22255056.000,14.959,24.462
22269318.000,15.007,23.239
22283580.000,15.035,22.790
22297842.000,14.956,21.776
22312104.000,15.095,21.065
22326366.000,15.059,20.006
22340628.000,15.130,19.624
22354890.000,15.113,18.631
22369152.000,15.075,17.610
22383414.000,15.141,16.940
22397676.000,15.044,16.299
22411938.000,15.167,15.161
22426200.000,15.044,14.075
22440462.000,15.158,13.499
22454724.000,15.107,12.286
22468986.000,15.095,11.814
22483248.000,15.107,11.186
22497510.000,15.013,9.826
22511772.000,15.090,9.364
22526034.000,15.022,7.682
22540296.000,15.061,7.241
22554558.000,14.944,5.607
22568820.000,15.024,5.519
22583082.000,14.981,4.259
22597344.000,14.960,2.936
22611606.000,14.934,2.608
22625868.000,14.898,0.564
22640130.000,14.904,0.319
22654392.000,14.877,-1.254
22668654.000,14.812,-1.548
22682916.000,14.784,-2.706
22697178.000,14.792,-3.933
22711440.000,14.740,-4.299
22725702.000,14.801,-6.642
22739964.000,14.662,-6.808
22754226.000,14.690,-8.398
22768488.000,14.651,-8.963
22782750.000,14.589,-10.243
22797012.000,14.571,-11.157
22811274.000,14.459,-12.142
22825536.000,14.555,-13.758
22839798.000,14.405,-14.682
22854060.000,14.476,-15.910
22868322.000,14.395,-16.686
22882584.000,14.393,-17.882
22896846.000,14.314,-18.968
22911108.000,14.288,-20.214
22925370.000,14.271,-21.439
22939632.000,14.178,-22.517
22953894.000,14.250,-23.607
22968156.000,14.160,-24.790
22982418.000,14.192,-25.543
22996680.000,14.085,-27.052
23010942.000,14.053,-28.096
23025204.000,14.087,-29.195
23039466.000,14.009,-30.439
23053728.000,14.021,-31.631
23067990.000,13.931,-32.795
23082252.000,13.986,-33.787
23096514.000,13.887,-34.999
23110776.000,13.935,-36.196
23125038.000,13.857,-37.319
23139300.000,13.827,-38.595
23153562.000,13.847,-39.263
23167824.000,13.824,-40.679
23182086.000,13.858,-41.613
23196348.000,13.832,-42.827
23210610.000,13.845,-44.080
23224872.000,13.803,-44.755
23239134.000,13.792,-46.267
23253396.000,13.808,-47.282
23267658.000,13.785,-48.986
23281920.000,13.818,-49.586
23296182.000,13.757,-50.977
23310444.000,13.751,-51.754
23324706.000,13.774,-53.282
23338968.000,13.781,-54.409
23353230.000,13.768,-55.372
23367492.000,13.751,-56.966
23381754.000,13.814,-57.537
23396016.000,13.831,-59.020
23410278.000,13.760,-59.910
23424540.000,13.822,-61.243
23438802.000,13.800,-62.180
23453064.000,13.805,-63.418
23467326.000,13.853,-64.818
23481588.000,13.869,-65.573
23495850.000,13.854,-67.222
23510112.000,13.821,-67.746
23524374.000,13.867,-69.334
23538636.000,13.921,-70.317
23552898.000,13.893,-71.687
23567160.000,13.875,-72.567
23581422.000,13.919,-73.598
23595684.000,13.938,-75.155
23609946.000,13.934,-76.188
23624208.000,13.947,-77.387
23638470.000,13.919,-78.380
23652732.000,13.955,-79.785
23666994.000,13.926,-81.096
23681256.000,13.968,-82.026
23695518.000,13.947,-83.295
23709780.000,13.981,-84.410
23724042.000,14.017,-85.583
23738304.000,13.950,-86.913
23752566.000,13.958,-88.022
23766828.000,13.994,-89.134
23781090.000,13.990,-90.355
23795352.000,14.003,-91.645
23809614.000,14.003,-92.742
23823876.000,13.980,-93.902
23838138.000,13.963,-94.961
23852400.000,13.977,-96.121
23866662.000,13.953,-97.071
23880924.000,13.993,-98.381
23895186.000,13.987,-99.506
23909448.000,13.980,-100.717
23923710.000,13.991,-101.874
23937972.000,13.960,-102.773
23952234.000,13.958,-103.927
23966496.000,13.967,-104.950
23980758.000,13.937,-106.198
23995020.000,13.942,-107.130
24009282.000,13.992,-108.299
24023544.000,13.966,-109.233
24037806.000,13.944,-110.389
24052068.000,13.944,-111.551
24066330.000,13.931,-112.546
24080592.000,13.923,-113.377
24094854.000,13.902,-114.432
24109116.000,13.923,-115.539
24123378.000,13.939,-116.613
24137640.000,13.914,-117.807
24151902.000,13.922,-118.679
24166164.000,13.904,-119.608
24180426.000,13.938,-120.196
24194688.000,13.852,-121.679
24208950.000,13.935,-122.364
24223212.000,13.901,-123.212
24237474.000,13.918,-124.113
24251736.000,13.924,-125.135
24265998.000,13.911,-126.208
24280260.000,13.935,-126.939
24294522.000,13.903,-127.973
24308784.000,13.932,-128.870
24323046.000,13.900,-129.618
24337308.000,13.955,-130.348
24351570.000,13.974,-131.447
24365832.000,13.985,-132.194
24380094.000,13.983,-132.759
24394356.000,14.010,-133.684
24408618.000,13.987,-134.349
24422880.000,14.017,-135.474
24437142.000,14.046,-136.130
24451404.000,14.035,-136.854
24465666.000,14.090,-137.414
24479928.000,14.057,-138.630
24494190.000,14.115,-139.450
24508452.000,14.132,-139.922
24522714.000,14.112,-140.629
24536976.000,14.133,-141.457
24551238.000,14.168,-142.421
24565500.000,14.183,-142.955
24579762.000,14.191,-143.748
24594024.000,14.251,-144.423
24608286.000,14.272,-144.998
24622548.000,14.266,-145.922
24636810.000,14.343,-146.408
24651072.000,14.299,-147.410
24665334.000,14.359,-147.864
24679596.000,14.353,-148.527
24693858.000,14.412,-149.139
24708120.000,14.410,-149.780
24722382.000,14.445,-150.783
24736644.000,14.440,-151.263
24750906.000,14.457,-152.111
24765168.000,14.546,-152.512
24779430.000,14.505,-153.218
24793692.000,14.626,-153.728
24807954.000,14.583,-154.644
24822216.000,14.622,-155.292
24836478.000,14.657,-155.684
24850740.000,14.667,-156.783
24865002.000,14.719,-157.199
24879264.000,14.709,-157.991
24893526.000,14.766,-158.650
24907788.000,14.768,-159.359
24922050.000,14.866,-159.988
24936312.000,14.846,-160.595
24950574.000,14.880,-161.404
24964836.000,14.895,-162.012
24979098.000,14.919,-162.837
24993360.000,14.989,-163.479
25007622.000,14.958,-164.304
25021884.000,15.020,-165.154
25036146.000,15.010,-165.604
25050408.000,15.045,-166.365
25064670.000,15.073,-166.920
25078932.000,15.107,-168.128
25093194.000,15.166,-168.585
25107456.000,15.166,-169.520
25121718.000,15.213,-169.934
25135980.000,15.234,-171.070
25150242.000,15.249,-171.711
25164504.000,15.258,-172.258
25178766.000,15.342,-173.595
25193028.000,15.319,-174.051
25207290.000,15.309,-175.060
25221552.000,15.383,-175.402
25235814.000,15.364,-176.594
25250076.000,15.451,-177.166
25264338.000,15.465,-178.107
25278600.000,15.502,-178.883
25292862.000,15.541,-179.162
25307124.000,15.579,179.517
25321386.000,15.555,179.080
25335648.000,15.567,177.885
25349910.000,15.624,176.883
25364172.000,15.656,176.485
25378434.000,15.680,175.331
25392696.000,15.688,174.887
25406958.000,15.733,173.819
25421220.000,15.782,173.600
25435482.000,15.754,172.228
25449744.000,15.777,171.752
25464006.000,15.776,170.741
25478268.000,15.849,169.941
25492530.000,15.885,169.452
25506792.000,15.835,168.380
25521054.000,15.904,167.923
25535316.000,15.858,167.090
25549578.000,15.944,166.499
25563840.000,16.002,165.512
25578102.000,15.944,164.820
25592364.000,16.002,164.133
25606626.000,16.025,163.185
25620888.000,16.018,162.916
25635150.000,16.049,161.997
25649412.000,16.032,161.752
25663674.000,16.068,160.628
25677936.000,16.065,160.090
25692198.000,16.120,159.529
25706460.000,16.148,158.741
25720722.000,16.125,158.402
25734984.000,16.185,157.175
25749246.000,16.175,157.093
25763508.000,16.208,156.227
25777770.000,16.236,155.991
25792032.000,16.240,155.018
25806294.000,16.272,154.342
25820556.000,16.182,154.463
25834818.000,16.300,153.264
25849080.000,16.273,153.303
25863342.000,16.362,152.107
25877604.000,16.270,152.198
25891866.000,16.363,151.320
25906128.000,16.348,151.051
25920390.000,16.338,150.439
25934652.000,16.414,149.863
25948914.000,16.374,149.640
25963176.000,16.401,148.974
25977438.000,16.371,148.568
25991700.000,16.414,148.394
26005962.000,16.364,147.938
26020224.000,16.457,147.308
26034486.000,16.486,146.465
26048748.000,16.448,146.536
26063010.000,16.545,145.719
26077272.000,16.410,145.446
26091534.000,16.488,145.052
26105796.000,16.431,144.773
26120058.000,16.513,143.993
26134320.000,16.516,143.797
26148582.000,16.507,143.264
26162844.000,16.597,142.698
26177106.000,16.525,142.457
26191368.000,16.606,141.977
26205630.000,16.547,141.328
26219892.000,16.590,141.173
26234154.000,16.602,140.603
26248416.000,16.588,139.861
26262678.000,16.696,139.410
26276940.000,16.549,139.163
26291202.000,16.679,138.842
26305464.000,16.552,138.045
26319726.000,16.593,137.968
26333988.000,16.672,137.001
26348250.000,16.643,136.849
26362512.000,16.696,136.088
26376774.000,16.588,136.012
26391036.000,16.767,135.916
26405298.000,16.641,134.894
26419560.000,16.662,134.961
26433822.000,16.652,133.882
26448084.000,16.657,133.426
26462346.000,16.677,133.093
26476608.000,16.668,132.091
26490870.000,16.741,132.695
26505132.000,16.679,131.011
26519394.000,16.684,131.191
26533656.000,16.641,130.083
26547918.000,16.684,129.993
26562180.000,16.672,128.785
26576442.000,16.665,128.465
26590704.000,16.642,128.299
26604966.000,16.641,127.217
26619228.000,16.637,126.956
26633490.000,16.616,125.931
26647752.000,16.599,125.663
26662014.000,16.535,124.524
26676276.000,16.524,124.172
26690538.000,16.511,123.941
26704800.000,16.514,122.630
26719062.000,16.531,122.581
26733324.000,16.510,121.067
26747586.000,16.494,120.932
26761848.000,16.454,119.851
26776110.000,16.473,119.500
26790372.000,16.437,118.852
26804634.000,16.400,117.938
26818896.000,16.381,117.414
26833158.000,16.397,116.055
26847420.000,16.386,115.682
26861682.000,16.355,114.560
26875944.000,16.302,113.994
26890206.000,16.293,113.352
26904468.000,16.325,112.557
26918730.000,16.234,112.098
26932992.000,16.293,110.672
26947254.000,16.266,109.957
26961516.000,16.303,108.736
26975778.000,16.259,108.336
26990040.000,16.251,107.656
27004302.000,16.219,106.257
27018564.000,16.197,106.454
27032826.000,16.247,104.982
27047088.000,16.186,104.150
27061350.000,16.213,102.819
27075612.000,16.176,102.442
27089874.000,16.239,101.670
27104136.000,16.174,100.161
27118398.000,16.152,99.798
27132660.000,16.157,98.809
27146922.000,16.128,98.024
27161184.000,16.175,96.926
27175446.000,16.103,96.167
27189708.000,16.144,95.179
27203970.000,16.166,94.384
27218232.000,16.140,93.404
27232494.000,16.178,92.874
27246756.000,16.082,91.801
27261018.000,16.131,90.833
27275280.000,16.174,90.338
27289542.000,16.179,89.364
27303804.000,16.133,88.355
27318066.000,16.228,87.566
27332328.000,16.189,87.059
27346590.000,16.149,86.043
27360852.000,16.196,85.016
27375114.000,16.163,84.203
27389376.000,16.217,83.559
27403638.000,16.168,82.772
27417900.000,16.218,81.640
27432162.000,16.275,80.905
27446424.000,16.243,80.024
27460686.000,16.259,79.246
27474948.000,16.219,78.485
27489210.000,16.324,77.571
27503472.000,16.261,76.904
27517734.000,16.306,76.141
27531996.000,16.355,75.077
27546258.000,16.357,73.927
27560520.000,16.352,73.335
27574782.000,16.411,72.242
27589044.000,16.368,71.435
27603306.000,16.427,70.023
27617568.000,16.402,69.403
27631830.000,16.475,68.474
27646092.000,16.512,67.640
27660354.000,16.476,66.618
27674616.000,16.562,65.485
27688878.000,16.571,64.717
27703140.000,16.553,63.803
27717402.000,16.607,62.704
27731664.000,16.600,61.873
27745926.000,16.658,60.833
27760188.000,16.666,59.626
27774450.000,16.700,58.784
27788712.000,16.738,57.766
27802974.000,16.748,56.792
27817236.000,16.763,55.446
27831498.000,16.759,54.427
27845760.000,16.831,53.334
27860022.000,16.838,52.394
27874284.000,16.813,51.022
27888546.000,16.897,50.149
27902808.000,16.893,48.693
27917070.000,16.935,47.701
27931332.000,16.952,46.416
27945594.000,16.970,45.487
27959856.000,17.006,44.054
27974118.000,16.997,43.098
27988380.000,16.978,42.109
28002642.000,16.949,40.654
28016904.000,17.044,39.324
28031166.000,16.970,38.323
28045428.000,16.977,37.120
28059690.000,16.952,35.795
28073952.000,16.978,34.652
28088214.000,16.976,33.296
28102476.000,17.015,32.590
28116738.000,16.932,31.023
28131000.000,16.957,30.069
28145262.000,16.906,28.767
28159524.000,16.923,27.561
28173786.000,16.914,26.664
28188048.000,16.838,25.535
28202310.000,16.812,24.272
28216572.000,16.789,23.193
28230834.000,16.731,21.988
28245096.000,16.733,20.932
28259358.000,16.680,19.869
28273620.000,16.639,18.855
28287882.000,16.592,17.856
28302144.000,16.576,16.456
28316406.000,16.498,15.616
28330668.000,16.441,14.367
28344930.000,16.419,13.012
28359192.000,16.356,11.957
28373454.000,16.325,10.863
28387716.000,16.251,9.533
28401978.000,16.233,8.772
28416240.000,16.130,7.824
28430502.000,16.094,6.645
28444764.000,16.026,5.546
28459026.000,15.969,4.238
28473288.000,15.920,3.471
28487550.000,15.872,2.344
28501812.000,15.793,1.246
28516074.000,15.729,0.118
28530336.000,15.656,-1.246
28544598.000,15.671,-2.058
28558860.000,15.555,-3.206
28573122.000,15.488,-4.228
28587384.000,15.422,-5.301
28601646.000,15.365,-6.009
28615908.000,15.320,-7.328
28630170.000,15.220,-8.354
28644432.000,15.206,-9.334
28658694.000,15.116,-10.359
28672956.000,15.007,-11.440
28687218.000,14.992,-12.322
28701480.000,14.944,-13.568
28715742.000,14.856,-14.266
28730004.000,14.817,-15.246
28744266.000,14.738,-16.609
28758528.000,14.672,-17.056
28772790.000,14.659,-18.521
28787052.000,14.546,-19.675
28801314.000,14.492,-19.983
28815576.000,14.426,-21.201
28829838.000,14.357,-21.967
28844100.000,14.334,-23.046
28858362.000,14.242,-23.858
28872624.000,14.175,-25.068
28886886.000,14.124,-25.868
28901148.000,14.095,-26.827
28915410.000,14.064,-27.647
28929672.000,13.979,-28.516
28943934.000,13.983,-29.170
28958196.000,13.879,-30.264
28972458.000,13.873,-30.828
28986720.000,13.799,-32.054
29000982.000,13.761,-32.995
29015244.000,13.700,-33.571
29029506.000,13.666,-34.457
29043768.000,13.628,-35.119
29058030.000,13.589,-36.019
29072292.000,13.527,-37.036
29086554.000,13.521,-38.009
29100816.000,13.499,-38.530
29115078.000,13.432,-39.498
29129340.000,13.402,-40.384
29143602.000,13.362,-41.147
29157864.000,13.309,-41.972
29172126.000,13.308,-42.833
29186388.000,13.260,-43.574
29200650.000,13.232,-44.289
29214912.000,13.181,-45.269
29229174.000,13.216,-46.009
29243436.000,13.122,-47.084
29257698.000,13.100,-47.668
29271960.000,13.056,-48.609
29286222.000,13.017,-49.474
29300484.000,13.019,-50.310
29314746.000,12.954,-50.875
29329008.000,12.918,-51.805
29343270.000,12.856,-52.692
29357532.000,12.812,-53.309
29371794.000,12.810,-54.245
29386056.000,12.735,-54.942
29400318.000,12.744,-55.779
29414580.000,12.664,-56.474
29428842.000,12.644,-57.300
29443104.000,12.567,-58.357
29457366.000,12.552,-58.679
29471628.000,12.506,-59.697
29485890.000,12.442,-60.555
29500152.000,12.383,-61.312
29514414.000,12.355,-62.090
29528676.000,12.291,-62.813
29542938.000,12.284,-63.589
29557200.000,12.205,-64.378
29571462.000,12.136,-65.210
29585724.000,12.113,-65.836
29599986.000,12.041,-66.653
29614248.000,11.976,-67.216
29628510.000,11.958,-67.933
29642772.000,11.884,-68.730
29657034.000,11.842,-69.280
29671296.000,11.779,-70.018
29685558.000,11.731,-70.733
29699820.000,11.692,-71.293
29714082.000,11.611,-71.935
29728344.000,11.580,-72.520
29742606.000,11.506,-73.206
29756868.000,11.468,-73.660
29771130.000,11.407,-74.308
29785392.000,11.335,-74.838
29799654.000,11.296,-75.475
29813916.000,11.228,-75.944
29828178.000,11.213,-76.417
29842440.000,11.165,-76.958
29856702.000,11.107,-77.553
29870964.000,11.050,-78.186
29885226.000,11.026,-78.531
29899488.000,10.968,-78.934
29913750.000,10.916,-79.319
29928012.000,10.864,-79.885
29942274.000,10.794,-80.222
29956536.000,10.759,-80.700
29970798.000,10.742,-81.229
29985060.000,10.666,-81.637
29999322.000,10.638,-82.196
